what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1328261054827
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1328261054828
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1328261054831
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1328261054832
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1328261054835
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1328261054836
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1328261054838
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1328261054839
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1328261054846
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1328261054848
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1328261054848
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1328261054849
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1328261054850
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1328261054851
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1328261054854
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1328261054856
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1328261054859
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1328261054862
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1328261054865
os,sysinfo,,,"macosx",1328261054870
arch,sysinfo,,,"x86_64",1328261054870
ws,sysinfo,,,"cocoa",1328261054870
locale,sysinfo,,,"en_US",1328261054870
processors,sysinfo,,,"4",1328261054870
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1328261054871
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-11M3527",1328261054871
java.specification.name,sysinfo,,,"Java Platform API Specification",1328261054871
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1328261054871
java.specification.version,sysinfo,,,"1.6",1328261054871
java.vendor,sysinfo,,,"Apple Inc.",1328261054871
java.version,sysinfo,,,"1.6.0_29",1328261054871
java.vm.info,sysinfo,,,"mixed mode",1328261054871
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1328261054871
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1328261054871
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1328261054871
java.vm.specification.version,sysinfo,,,"1.0",1328261054871
java.vm.vendor,sysinfo,,,"Apple Inc.",1328261054871
java.vm.version,sysinfo,,,"20.4-b02-402",1328261054871
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1328261054891
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1328261055279
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328262243720
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328262243890
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1328262244037
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1328262244522
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1328262244531
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1328262244989
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1328262244995
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1328262244998
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1328262245001
