what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1329444425092
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1329444425092
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1329444425092
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1329444425092
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1329444425092
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1329444425092
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1329444425093
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1329444425094
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1329444425094
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1329444425094
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1329444425095
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1329444425096
started,bundle,org.eclipse.team.svn.core,0.7.9.I20120210-1700,"org.eclipse.team.svn.core",1329444425096
started,bundle,org.eclipse.team.svn.revision.graph,0.7.9.I20111123-1700,"org.eclipse.team.svn.revision.graph",1329444425096
started,bundle,org.eclipse.team.svn.ui,0.7.9.I20120210-1700,"org.eclipse.team.svn.ui",1329444425096
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit15,2.2.2.I20111119-1700,"org.polarion.eclipse.team.svn.connector.svnkit15",1329444425096
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16l,2.2.2.I20120210-1700,"org.polarion.eclipse.team.svn.connector.svnkit16l",1329444425096
os,sysinfo,,,"macosx",1329444425102
arch,sysinfo,,,"x86_64",1329444425102
ws,sysinfo,,,"cocoa",1329444425102
locale,sysinfo,,,"en_US",1329444425102
processors,sysinfo,,,"4",1329444425102
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1329444425102
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-11M3527",1329444425102
java.specification.name,sysinfo,,,"Java Platform API Specification",1329444425102
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1329444425102
java.specification.version,sysinfo,,,"1.6",1329444425102
java.vendor,sysinfo,,,"Apple Inc.",1329444425102
java.version,sysinfo,,,"1.6.0_29",1329444425102
java.vm.info,sysinfo,,,"mixed mode",1329444425102
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1329444425102
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1329444425102
